GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AC1-DevOps,org.example.ac1devops.web,StudentController,0,32,0,0,0,7,0,5,0,5
AC1-DevOps,org.example.ac1devops.web,ApiExceptionHandler,0,11,0,0,0,2,0,2,0,2
AC1-DevOps,org.example.ac1devops.entity,StudentEntity,0,57,0,0,0,20,0,10,0,10
AC1-DevOps,org.example.ac1devops.entity,LevelUpEventEntity,0,28,0,0,0,12,0,7,0,7
AC1-DevOps,org.example.ac1devops.config,OpenApiConfig,0,17,0,0,0,6,0,2,0,2
AC1-DevOps,org.example.ac1devops.service,StudentNotFoundException,0,5,0,0,0,2,0,1,0,1
AC1-DevOps,org.example.ac1devops.service,StudentService,0,155,0,4,0,29,0,12,0,10
AC1-DevOps,org.example.ac1devops.domain,Student,0,74,0,4,0,22,0,9,0,7
AC1-DevOps,org.example.ac1devops.domain,LevelUpEvent,0,15,0,0,0,6,0,3,0,3
AC1-DevOps,org.example.ac1devops.domain,Level,0,68,0,4,0,14,0,6,0,4
AC1-DevOps,org.example.ac1devops.dto,ReceiveXpRequestDTO,0,9,0,0,0,1,0,1,0,1
AC1-DevOps,org.example.ac1devops.dto,LevelUpEventDTO,0,9,0,0,0,1,0,1,0,1
AC1-DevOps,org.example.ac1devops.dto,CreateStudentRequestDTO,0,6,0,0,0,1,0,1,0,1
AC1-DevOps,org.example.ac1devops.dto,StudentResponseDTO,0,18,0,0,0,1,0,1,0,1
